"url","title","original_format","online_formats","subjects","date","description","contributors","locations","partof","access_restricted","id","image_url","thumb_url","resource_count","resource_url","filename"
"https://www.loc.gov/item/muscolwell-200224977/","Larry Colwell dance photographs: Studio or publicity photos: Moylan, Mary Ellen","photo, print, drawing","image","photographs","1944","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224977","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224977:muscolwell-200224977.0001/full/pct:100/0/default.jpg#h=4112&w=3300","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224977:muscolwell-200224977.0001/full/pct:6.25/0/default.jpg#h=257&w=206","6","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224977:muscolwell-200224977.0001/full/pct:100/0/default.jpg#h=4112&w=3300","muscolwell-200224977-0.jpg"
"https://www.loc.gov/item/muscolwell-200224978/","Larry Colwell dance photographs: Studio or publicity photos: Moylan, Mary Ellen, with Fred Danieli [?]","photo, print, drawing","image","photographs","1944","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224978","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224978:muscolwell-200224978.0001/full/pct:100/0/default.jpg#h=4094&w=3286","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224978:muscolwell-200224978.0001/full/pct:12.5/0/default.jpg#h=511&w=410","6","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224978:muscolwell-200224978.0001/full/pct:100/0/default.jpg#h=4094&w=3286","muscolwell-200224978-0.jpg"
"https://www.loc.gov/item/muscolwell-200224965/","Larry Colwell dance photographs: Studio or publicity photos: Krassovska, Natalie","photo, print, drawing","image","photographs","1946","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224965","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224965:muscolwell-200224965.0001/full/pct:100/0/default.jpg#h=2872&w=2090","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224965:muscolwell-200224965.0001/full/pct:12.5/0/default.jpg#h=359&w=261","14","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224965:muscolwell-200224965.0001/full/pct:100/0/default.jpg#h=2872&w=2090","muscolwell-200224965-0.jpg"
"https://www.loc.gov/item/muscolwell-200224966/","Larry Colwell dance photographs: Studio or publicity photos: Krassovska, Natalie","photo, print, drawing","image","photographs","1947","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224966","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224966:muscolwell-200224966.0001/full/pct:100/0/default.jpg#h=2890&w=2086","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224966:muscolwell-200224966.0001/full/pct:12.5/0/default.jpg#h=361&w=260","6","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224966:muscolwell-200224966.0001/full/pct:100/0/default.jpg#h=2890&w=2086","muscolwell-200224966-0.jpg"
"https://www.loc.gov/item/muscolwell-200224981/","Larry Colwell dance photographs: Studio or publicity photos: Moylan, Mary Ellen","photo, print, drawing","image","photographs","1944","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224981","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224981:muscolwell-200224981.0001/full/pct:100/0/default.jpg#h=4075&w=3270","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224981:muscolwell-200224981.0001/full/pct:12.5/0/default.jpg#h=509&w=408","6","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224981:muscolwell-200224981.0001/full/pct:100/0/default.jpg#h=4075&w=3270","muscolwell-200224981-0.jpg"
"https://www.loc.gov/item/muscolwell-200224982/","Larry Colwell dance photographs: Studio or publicity photos: Moylan, Mary Ellen, with unidentified partner","photo, print, drawing","image","photographs","1944","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224982","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224982:muscolwell-200224982.0001/full/pct:100/0/default.jpg#h=4118&w=3311","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224982:muscolwell-200224982.0001/full/pct:6.25/0/default.jpg#h=257&w=206","5","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224982:muscolwell-200224982.0001/full/pct:100/0/default.jpg#h=4118&w=3311","muscolwell-200224982-0.jpg"
"https://www.loc.gov/item/muscolwell-200224983/","Larry Colwell dance photographs: Studio or publicity photos: Moylan, Mary Ellen, with unidentified partner","photo, print, drawing","image","photographs","1944","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224983","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224983:muscolwell-200224983.0001/full/pct:100/0/default.jpg#h=4106&w=3331","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224983:muscolwell-200224983.0001/full/pct:12.5/0/default.jpg#h=513&w=416","5","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224983:muscolwell-200224983.0001/full/pct:100/0/default.jpg#h=4106&w=3331","muscolwell-200224983-0.jpg"
"https://www.loc.gov/item/muscolwell-200224984/","Larry Colwell dance photographs: Studio or publicity photos: Moylan, Mary Ellen","photo, print, drawing","image","photographs","1944","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224984","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224984:muscolwell-200224984.0001/full/pct:100/0/default.jpg#h=4087&w=3286","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224984:muscolwell-200224984.0001/full/pct:12.5/0/default.jpg#h=510&w=410","24","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224984:muscolwell-200224984.0001/full/pct:100/0/default.jpg#h=4087&w=3286","muscolwell-200224984-0.jpg"
"https://www.loc.gov/item/muscolwell-200224979/","Larry Colwell dance photographs: Studio or publicity photos: Moylan, Mary Ellen","photo, print, drawing","image","photographs","1948","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224979","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224979:muscolwell-200224979.0001/full/pct:100/0/default.jpg#h=4078&w=3270","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224979:muscolwell-200224979.0001/full/pct:12.5/0/default.jpg#h=509&w=408","26","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224979:muscolwell-200224979.0001/full/pct:100/0/default.jpg#h=4078&w=3270","muscolwell-200224979-0.jpg"
"https://www.loc.gov/item/muscolwell-200224986/","Larry Colwell dance photographs: Studio or publicity photos: Rosay, Bettina","photo, print, drawing","image","photographs","1946","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224986","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224986:muscolwell-200224986.0001/full/pct:100/0/default.jpg#h=3318&w=2316","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224986:muscolwell-200224986.0001/full/pct:12.5/0/default.jpg#h=414&w=289","9","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224986:muscolwell-200224986.0001/full/pct:100/0/default.jpg#h=3318&w=2316","muscolwell-200224986-0.jpg"
