"url","title","original_format","online_formats","subjects","date","description","contributors","locations","partof","access_restricted","id","image_url","thumb_url","resource_count","resource_url","filename"
"https://www.loc.gov/item/gottlieb.02901/","[Portrait of Brick Fleagle, New York, N.Y., between 1946 and 1948]","photo, print, drawing","image","portrait photographs;graphic;jazz musicians;film negatives;fleagle, brick;guitarists","1946-01-01","Graphic.   Portrait Photographs-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  b&w ; 2 1/4 x 2 1/4 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 512 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.02901","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02901:ver01:0001/full/pct:50.0/0/default.jpg#h=2835&w=2814","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02901:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02901:ver01:0001/full/pct:50.0/0/default.jpg#h=2835&w=2814","gottlieb.02901-0.jpg"
"https://www.loc.gov/item/gottlieb.02931/","[Portrait of Brick Fleagle, New York, N.Y., between 1946 and 1948]","photo, print, drawing","image","portrait photographs;graphic;jazz musicians;film negatives;fleagle, brick;guitarists","1946-01-01","Graphic.   Portrait Photographs-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  b&w ; 2 1/4 x 2 1/4 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 515 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.02931","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02931:ver01:0001/full/pct:50.0/0/default.jpg#h=2810&w=2803","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02931:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02931:ver01:0001/full/pct:50.0/0/default.jpg#h=2810&w=2803","gottlieb.02931-0.jpg"
"https://www.loc.gov/item/gottlieb.02961/","[Portrait of Bud Freeman and Frankie Laine, New York, N.Y.(?), between 1938 and 1948]","photo, print, drawing","image","portrait photographs;saxophonists;freeman, bud;jazz musicians;film negatives;graphic;jazz singers;group portraits;laine, frankie","1938-01-01","Graphic.   Portrait Photographs-1930-1950..   Group Portraits-1930-1950..   Film Negatives-1930-1950..   electronic resource |   1 negative :  b&w ; 2 1/4 x 2 1/4 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 369 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.02961","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02961:ver01:0001/full/pct:50.0/0/default.jpg#h=2722&w=2738","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02961:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02961:ver01:0001/full/pct:50.0/0/default.jpg#h=2722&w=2738","gottlieb.02961-0.jpg"
"https://www.loc.gov/item/gottlieb.02981/","[Portrait of Walter Fuller, New York, N.Y., between 1946 and 1948]","photo, print, drawing","image","portrait photographs;graphic;trumpet players;jazz musicians;film negatives;fuller, walter","1946-01-01","Graphic.   Portrait Photographs-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  b&w ; 2 1/4 x 2 1/4 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 371 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.02981","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02981:ver01:0001/full/pct:50.0/0/default.jpg#h=3179&w=2825","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02981:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02981:ver01:0001/full/pct:50.0/0/default.jpg#h=3179&w=2825","gottlieb.02981-0.jpg"
"https://www.loc.gov/item/gottlieb.03011/","[Portrait of Erroll Garner, New York, N.Y., between 1946 and 1948]","photo, print, drawing","image","film negatives;portrait photographs;graphic;pianists;double bassists;garner, erroll;group portraits;jazz musicians","1946-01-01","Graphic.   Portrait Photographs-1940-1950..   Group Portraits-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  b&w ; 3 1/4 x 4 1/4 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 518 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.03011","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03011:ver01:0001/full/pct:50.0/0/default.jpg#h=2054&w=2677","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03011:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03011:ver01:0001/full/pct:50.0/0/default.jpg#h=2054&w=2677","gottlieb.03011-0.jpg"
"https://www.loc.gov/item/gottlieb.03031/","[Portrait of Teddy Kaye, Vivien Garry, and Arv(in) Charles Garrison, Dixon's, New York, N.Y., ca. May 1947]","photo, print, drawing","image","garry, vivien;portrait photographs;graphic;film negatives;jazz musicians;double bassists;dixon's;garrison, arv(in) charles;women jazz musicians;group portraits;kaye, teddy","1947-01-01","Graphic.   Portrait Photographs-1940-1950..   Group Portraits-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  b&w ; 2 1/4 x 2 1/4 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 519 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.03031","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03031:ver01:0001/full/pct:50.0/0/default.jpg#h=2580&w=2628","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03031:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03031:ver01:0001/full/pct:50.0/0/default.jpg#h=2580&w=2628","gottlieb.03031-0.jpg"
"https://www.loc.gov/item/gottlieb.03041/","[Portrait of Teddy Kaye, Vivien Garry, and Arv(in) Charles Garrison, New York, N.Y., between 1946 and 1948]","photo, print, drawing","image","garry, vivien;portrait photographs;graphic;film negatives;jazz musicians;double bassists;garrison, arv(in) charles;women jazz musicians;group portraits;kaye, teddy","1946-01-01","Graphic.   Portrait Photographs-1940-1950..   Group Portraits-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  b&w ; 2 1/4 x 2 1/4 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 520 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.03041","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03041:ver01:0001/full/pct:50.0/0/default.jpg#h=2850&w=2759","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03041:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03041:ver01:0001/full/pct:50.0/0/default.jpg#h=2850&w=2759","gottlieb.03041-0.jpg"
"https://www.loc.gov/item/gottlieb.03051/","[Portrait of Betty George, Copacabana(?), New York, N.Y., ca. Sept. 1947]","photo, print, drawing","image","portrait photographs;graphic;film negatives;jazz singers;women jazz musicians;george, betty","1947-01-01","Graphic.   Portrait Photographs-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  b&w ; 3 1/4 x 4 1/4 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 074 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.03051","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03051:ver01:0001/full/pct:50.0/0/default.jpg#h=2675&w=2045","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03051:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03051:ver01:0001/full/pct:50.0/0/default.jpg#h=2675&w=2045","gottlieb.03051-0.jpg"
"https://www.loc.gov/item/gottlieb.03071/","[Portrait of Harry Gibson, Diamond studio, New York, N.Y.(?), ca. Apr. 1947]","photo, print, drawing","image","diamond studio;portrait photographs;graphic;pianists;film negatives;gibson, harry;jazz musicians","1947-01-01","Graphic.   Portrait Photographs-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  b&w ; 2 1/4 x 2 1/4 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 372 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.03071","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03071:ver01:0001/full/pct:50.0/0/default.jpg#h=2774&w=2602","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03071:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03071:ver01:0001/full/pct:50.0/0/default.jpg#h=2774&w=2602","gottlieb.03071-0.jpg"
"https://www.loc.gov/item/gottlieb.03081/","[Portrait of Harry Gibson, Diamond studio, New York, N.Y.(?), ca. Apr. 1947]","photo, print, drawing","image","diamond studio;film negatives;portrait photographs;graphic;pianists;double bassists;gibson, harry;group portraits;jazz musicians","1947-01-01","Graphic.   Portrait Photographs-1940-1950..   Group Portraits-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  b&w ; 2 1/4 x 2 1/4 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   In: ""The Hipster on the cover,"" Down Beat, v. 14, no. 11 (May 21, 1947).   Gottlieb Collection Assignment No. 372 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.03081","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03081:ver01:0001/full/pct:50.0/0/default.jpg#h=2883&w=2770","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03081:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-03081:ver01:0001/full/pct:50.0/0/default.jpg#h=2883&w=2770","gottlieb.03081-0.jpg"
