"url","title","original_format","online_formats","subjects","date","description","contributors","locations","partof","access_restricted","id","image_url","thumb_url","resource_count","resource_url","filename"
"https://www.loc.gov/item/98508979/","Field day--WPA recreation project, Dist. No. 2","photo, print, drawing","image","recreation;screen prints;color;sports;posters;illinois;tennis players","1939-01-01","1 print on board (poster) : silkscreen, color. | Poster showing woman holding tennis racket, with silhouettes of other games and events in background.","","illinois","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98508979","https://tile.loc.gov/storage-services/service/pnp/ds/08000/08072v.jpg#h=1024&w=666","https://tile.loc.gov/storage-services/service/pnp/ds/08000/08072_150px.jpg#h=150&w=98","1","https://tile.loc.gov/storage-services/service/pnp/ds/08000/08072v.jpg#h=1024&w=666","98508979.jpg"
"https://www.loc.gov/item/98508990/","Du Page County soap box derby ... Glen Ellyn, Ill.","photo, print, drawing","image","recreation;coaster cars;screen prints;color;glen ellyn;illinois;posters;racing","1939-01-01","1 print on board (poster) : silkscreen, color. | Poster showing soap box derby contestants crossing the finish line.","","glen ellyn;illinois","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98508990","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05212v.jpg#h=1024&w=683","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05212_150px.jpg#h=150&w=100","1","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05212v.jpg#h=1024&w=683","98508990.jpg"
"https://www.loc.gov/item/98508993/","The drama of the heavens--Adler Planetarium, operated by Chicago Park District","photo, print, drawing","image","celestial bodies;planetaria;screen prints;adler planetarium and astronomical museum;chicago;color;illinois;posters","1939-01-01","1 print on board (poster) : silkscreen, color. | Poster shows stars, planets, and constellations over a planetarium building.","","illinois;chicago","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98508993","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48791v.jpg#h=1024&w=693","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48791t.gif#h=150&w=97","1","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48791v.jpg#h=1024&w=693","98508993.jpg"
"https://www.loc.gov/item/98509005/","Sand modeling for younger children--WPA recreation project, Dist. No. 2","photo, print, drawing","image","recreation;screen prints;color;children playing in sand;illinois;sand sculpture;posters","1939-01-01","1 print on board (poster) : silkscreen, color. | Poster showing children creating sand sculpture.","","illinois","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98509005","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05213v.jpg#h=1024&w=684","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05213_150px.jpg#h=150&w=100","1","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05213v.jpg#h=1024&w=684","98509005.jpg"
"https://www.loc.gov/item/98517916/","Careers ahead","photo, print, drawing","image","screen prints;color;abstract works;illinois;posters;employment;drawing","1936-01-01","1 print on board (poster) : silkscreen, color. | Poster promoting career opportunities in drafting and design, showing drafting tools and abstract design.","federal theatre project (u.s.)","illinois","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98517916","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48729v.jpg#h=1024&w=691","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48729_150px.jpg#h=150&w=101","1","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48729v.jpg#h=1024&w=691","98517916.jpg"
"https://www.loc.gov/item/98509009/","Hull-House community workshop Register now : Free classes in painting, sculpture, pottery, weaving, poster art /","photo, print, drawing","image","recreation;screen prints;chicago;color;illinois;art education;hull house (chicago, ill.);posters","1938-01-01","1 print on board (poster) : silkscreen, color. | Poster for arts classes at Hull House, showing a budding plant, a sculpture of a bird, and an artist's palette.","","illinois;chicago","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98509009","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05215v.jpg#h=1024&w=695","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05215_150px.jpg#h=150&w=102","1","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05215v.jpg#h=1024&w=695","98509009.jpg"
"https://www.loc.gov/item/98509015/","Elmhurst flag day, June 18, 1939, Du Page County centennial","photo, print, drawing","image","flag day;screen prints;dupage county (ill.);united states;color;flags;posters","1939-01-01","1 print on board (poster) : silkscreen, color. | Poster showing American flag.","","dupage county;illinois","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98509015","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05214v.jpg#h=1024&w=691","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05214_150px.jpg#h=150&w=101","1","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05214v.jpg#h=1024&w=691","98509015.jpg"
"https://www.loc.gov/item/92513367/","A young man's opportunity for work, play, study & health","photo, print, drawing","image","recruiting & enlistment;screen prints;color;united states;posters;civilian conservation corps (u.s.);public service employment","1941-01-01","1 print on board (poster) : silkscreen, color. | Poster promoting the U.S. Civilian Conservation Corps showing a young man with pickaxe.","federal art project;bender, albert m.","united states","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","92513367","https://tile.loc.gov/storage-services/service/pnp/ppmsca/12800/12896v.jpg#h=1024&w=661","https://tile.loc.gov/storage-services/service/pnp/ppmsca/12800/12896_150px.jpg#h=150&w=97","1","https://tile.loc.gov/storage-services/service/pnp/ppmsca/12800/12896v.jpg#h=1024&w=661","92513367.jpg"
"https://www.loc.gov/item/98509559/","""Out of the wilderness"" A folk festival of the New Salem years of Lincoln /","photo, print, drawing","image","illinois;color;commemoration;posters;festivals;lincoln, abraham;new salem;screen prints","1939-01-01","1 print on board (poster) : silkscreen, color. | Poster showing a book and a stovepipe hat.","federal art project;bender, albert m.","new salem;illinois","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98509559","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05217v.jpg#h=1024&w=695","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05217_150px.jpg#h=150&w=102","1","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05217v.jpg#h=1024&w=695","98509559.jpg"
"https://www.loc.gov/item/98509579/","""Out of the wilderness"" A folk festival of the New Salem years of Lincoln /","photo, print, drawing","image","illinois;color;commemoration;posters;festivals;lincoln, abraham;new salem;screen prints","1939-01-01","1 print on board (poster) : silkscreen, color. | Poster showing a book and a stovepipe hat.","federal art project;bender, albert m.","new salem;illinois","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98509579","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05216v.jpg#h=1024&w=690","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05216_150px.jpg#h=150&w=101","1","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05216v.jpg#h=1024&w=690","98509579.jpg"
